model,persona,pearson_r,cosine_sim,mean_abs_diff,variance_ratio
Claude-Opus-4.6,ISTJ,0.5456052252102772,0.912669021259885,0.9833333333333333,0.8610910142801343
Claude-Opus-4.6,ISFJ,0.5324938054078912,0.9131975557677012,0.9333333333333333,0.8942265952363014
Claude-Opus-4.6,INFJ,0.6761151424470673,0.9396095008452653,0.7083333333333334,0.9289176674382277
Claude-Opus-4.6,INTJ,0.6025521378271702,0.9253204300122598,0.8916666666666667,0.8470192446382685
Claude-Opus-4.6,ISTP,0.29738039221449547,0.8913807211163262,1.1416666666666666,0.38456807985263436
Claude-Opus-4.6,ISFP,0.39131335455550903,0.8988292354856329,1.0833333333333333,0.615106352160116
Claude-Opus-4.6,INFP,0.40856604966224325,0.8947235301710861,1.1416666666666666,0.8261828967881023
Claude-Opus-4.6,INTP,0.3666946884872834,0.8933345086835321,1.1416666666666666,0.5547315872956586
Claude-Opus-4.6,ESTP,0.25457886279850117,0.8738385881905846,1.325,0.7341556937832014
Claude-Opus-4.6,ESFP,0.4330708689190988,0.8976987034026268,1.15,0.8871364490928422
Claude-Opus-4.6,ENFP,0.5640503763172112,0.9205401368430164,1.1083333333333334,1.017182752081293
Claude-Opus-4.6,ENTP,0.4616932004643691,0.9066763167569812,1.1166666666666667,0.7755751699784103
Claude-Opus-4.6,ESTJ,0.5070219394884204,0.9082871354283522,1.0583333333333333,0.8985313268234018
Claude-Opus-4.6,ESFJ,0.6073486570017669,0.927478141564652,0.9166666666666666,0.9305455071140218
Claude-Opus-4.6,ENFJ,0.7686692641195942,0.9563501835201071,0.7416666666666667,0.9888221675074556
Claude-Opus-4.6,ENTJ,0.6755095879653223,0.9386611950718443,0.8833333333333333,0.9700477499132952
Claude-Sonnet-4.6,ISTJ,0.5162479231239734,0.9145521441161549,0.85,1.536700671671259
Claude-Sonnet-4.6,ISFJ,0.5620759563939595,0.9277884361182227,0.9,1.5374471260130678
Claude-Sonnet-4.6,INFJ,0.7001027592783914,0.947054094266268,0.7333333333333333,1.7564070662771074
Claude-Sonnet-4.6,INTJ,0.6655983521971095,0.940215395397237,0.7416666666666667,1.6092933564122058
Claude-Sonnet-4.6,ISTP,0.5009015159129021,0.9329004845552155,0.6833333333333333,0.746205523695289
Claude-Sonnet-4.6,ISFP,0.5376145374920474,0.9324906438777837,0.7583333333333333,1.1415153022117581
Claude-Sonnet-4.6,INFP,0.6087302114139405,0.9380746177078184,0.7833333333333333,1.480716596035567
Claude-Sonnet-4.6,INTP,0.5484683587857743,0.9321405131403961,0.7583333333333333,1.000186613495878
Claude-Sonnet-4.6,ESTP,0.22542392719147775,0.8786334174313051,1.325,1.6182508085139164
Claude-Sonnet-4.6,ESFP,0.3412638412025796,0.8887514341229649,1.25,1.9494899226917601
